Ref Probe,,0,J2:TMP117,1,J2:Si7051,2,J2:AS6221,3,J2:ADT7422,4,J1:Si7051,5,J1:AS6221,6,J1:ADT7422
Rref,Tref,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value
1.071765121E+02,,4602.951,-0.0078125,4602.957,14.872937202453613,4602.958,14.9609375,4602.958,14.921875,4602.965,14.915837287902832,4602.965,-0.0078125,4602.966,14.9609375
1.071764933E+02,,5317.916,-0.0078125,5317.922,17.886690139770508,5317.923,17.984375,5317.923,17.953125,5317.93,17.908140182495117,5317.93,-0.0078125,5317.931,17.9609375
1.071764321E+02,,5317.981,-0.0078125,5317.987,17.875965118408203,5317.988,17.984375,5317.988,17.953125,5317.995,17.908140182495117,5317.995,-0.0078125,5317.996,17.9609375
1.071762675E+02,,5318.046,-0.0078125,5318.052,17.897415161132812,5318.053,17.984375,5318.053,17.90625,5318.06,17.918865203857422,5318.06,-0.0078125,5318.061,17.9609375
1.071758071E+02,,5318.111,-0.0078125,5318.117,17.897415161132812,5318.118,17.9609375,5318.118,17.90625,5318.125,17.908140182495117,5318.125,-0.0078125,5318.126,17.9609375
1.071763465E+02,,5318.176,-0.0078125,5318.182,17.886690139770508,5318.183,17.9609375,5318.183,17.90625,5318.19,17.897415161132812,5318.19,-0.0078125,5318.191,17.9609375
1.071760860E+02,,5318.241,-0.0078125,5318.247,17.875965118408203,5318.248,17.984375,5318.248,17.90625,5318.255,17.918865203857422,5318.255,-0.0078125,5318.256,17.9609375
1.071762614E+02,,5318.306,-0.0078125,5318.312,17.886690139770508,5318.313,17.984375,5318.313,17.921875,5318.32,17.929590225219727,5318.32,-0.0078125,5318.321,17.953125
1.071758218E+02,,5318.371,-0.0078125,5318.377,17.886690139770508,5318.378,17.984375,5318.378,17.921875,5318.385,17.94031524658203,5318.385,-0.0078125,5318.386,17.953125
1.071756213E+02,,5318.436,-0.0078125,5318.442,17.886690139770508,5318.443,17.9765625,5318.443,17.921875,5318.45,17.918865203857422,5318.45,-0.0078125,5318.451,17.953125
